lat,lon,dist_jobs_1,dist_jobs_2,dist_jobs_3,dist_jobs_4,dist_jobs_5,dist_edu_1,dist_edu_2,dist_edu_3,dist_edu_4,dist_edu_5,dist_health_1,dist_health_2,dist_health_3,dist_health_4,dist_health_5,dist_retail_1,dist_retail_2,dist_retail_3,dist_retail_4,dist_retail_5,dist_transport_1,dist_transport_2,dist_transport_3,dist_transport_4,dist_transport_5
-1.46,36.67,13.353388396544917,13.374952744119879,13.40163150550186,13.559812843087892,13.84188547068722,12.330356932266971,12.646124294203819,12.74654298739537,13.531399362034678,13.941992749434082,15.151237050526372,15.504606865097244,15.991743929919883,16.463326182352798,16.788329793566355,12.737113022249694,13.002561819565432,13.270332750850665,13.308894496682289,13.309345020064333,11.647578823088727,12.218566815387835,12.80942253967358,12.854085217790203,13.06042557553758
-1.46,36.675,13.020784611799531,13.057995266683506,13.210096629397109,13.415432999504146,13.515646481024035,12.039126256783712,12.286932909098693,12.490701269910343,13.193813193955265,13.511752268618052,14.930370179572034,15.384343862806352,15.861831276862274,16.140188390546893,16.721218899530058,12.488844336550988,12.844800701530955,12.938188999077942,12.977437871781717,12.98109162279242,11.385516243529045,11.931792457677231,12.611109021109156,12.655701927619921,12.74059377875164
-1.46,36.68000000000001,12.703869066735027,12.757457700576376,13.039523995405073,13.20005595499814,13.204817807769594,11.767031362940916,11.94288859869793,12.254814785166879,12.871451030054049,13.091040601560502,14.727237702870386,15.28341732914813,15.750527486759069,15.830030344194475,16.67242972198263,12.260832953091905,12.621859805646709,12.661781937312986,12.668797168457974,12.676058873235325,11.145109911671883,11.664543480310385,12.434566450210122,12.437457560777922,12.479009692090942
-1.46,36.68500000000001,12.40384431306002,12.47452687276252,12.807147320336675,12.89074575870178,12.910512537958104,11.515428792976037,11.615337402294369,12.040056467615049,12.56548462102373,12.680806197356818,14.54258278761548,15.202212389805267,15.533629557637392,15.65822939820035,16.64212340126409,12.05422845580156,12.32256314453089,12.36313702343337,12.37367006153544,12.378066785632132,10.927789203440863,11.418190972086158,12.152266390972127,12.280733772339865,12.324941445290689
-1.46,36.69000000000001,12.12196458254669,12.210426754890822,12.426752386465761,12.633885458130388,12.764524022627393,11.285689194540518,11.30571293538663,11.847575329491425,12.277139855165329,12.282098954093359,14.37711741040093,15.14104636254023,15.251788121059606,15.585274677790542,16.63040098408197,11.87014868254347,12.041569128170243,12.082764559996738,12.09696685156857,12.098355808183664,10.734956261039502,11.19411464413371,11.886312019215639,12.09471935546155,12.132585240175976
-1.46,36.695000000000014,11.859523770303845,11.966404200670876,12.060055322603572,12.376122036629413,12.66153339659049,11.015526955420667,11.079172713945583,11.678472920403138,11.896077956257681,12.007686263614428,14.231510919444135,14.985327546152751,15.100162763375677,15.531935899870726,16.63730175238184,11.709655970468196,11.780187553942211,11.821964679546205,11.83822183831905,11.83997932194815,10.567951651007132,10.993676699675516,11.640913001957804,11.836793188254475,11.872287036804591
-1.46,36.70000000000002,11.617839295509649,11.708343222419884,11.743710851818273,12.138424060887413,12.434464033521973,10.746354281980036,10.897199758428982,11.524018131041766,11.533777587469144,11.75842263688038,14.106378280340511,14.735082271954731,15.07972656012975,15.498415594286007,16.66280256824349,11.539751195914404,11.573731605137347,11.582059638793245,11.598982129699886,11.604017442264182,10.428016368879469,10.818191124581253,11.417394831578305,11.599858481707416,11.632814856191144
-1.46,36.70500000000002,11.373006408321114,11.39823156696577,11.543581193390356,11.92199177228023,12.212621978677804,10.499811127923333,10.741017840259538,11.167314992772406,11.414417560341061,11.53065841700325,14.002268403579043,14.501891758562584,15.079820884086407,15.484842465738,16.706818260121118,11.32159457148866,11.364372802257485,11.38195430130262,11.390387981828521,11.409825448511981,10.316252022959334,10.668889265474144,11.21706561811744,11.385225853261412,11.415479428940559
-1.46,36.71000000000002,11.055535067713423,11.201999059634957,11.367207048597182,11.728002561165523,12.012492768248286,10.277526171715413,10.611765783056242,10.827486390248662,11.321194202310982,11.325690763556787,13.91965300658296,14.286591150895891,15.100445350517813,15.491268946223833,16.769203035480594,11.127028207869147,11.170203222001664,11.188430994057468,11.200368881103715,11.219171305452733,10.233581647341639,10.54688315237876,11.041187641832483,11.194178209404443,11.221567039710157
-1.46,36.715000000000025,10.75751103290952,11.03038939158317,11.215709185020803,11.557586575539606,11.83517792601156,10.081104196392802,10.50616990316839,10.510437143340589,11.144777527336458,11.254757003643297,13.858916491612206,14.090000566666022,15.141516066491564,15.517670187877929,16.581308597822833,10.957308837313592,11.000796242679153,11.019650612457317,11.035179875697994,11.053284575938362,10.180714021344636,10.453128594871156,10.890945556890687,11.027941374437892,11.052310626328522
