region_cluster,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,286000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   10 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,220000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   13 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,220000,0,0,0,0,"Furnished 3 Bed Apartment with En Suite in Kilimani
                                         
 
 
 
 
 
                                              "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,280000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   11 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,280000,0,0,0,0,"Furnished 2 Bed Apartment with En Suite in Westlands Area
                                         
 
 
 
 
 
                                        "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,158000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   6 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,158000,0,0,0,0,"3 Bed Apartment with En Suite in Kileleshwa
                                         
 
 
 
 
 
                                                3 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,170000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   20 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,170000,0,0,0,0,"2 Bed Apartment with En Suite in Riverside
                                         
 
 
 
 
 
                                                2 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,150000,0,0,0,0,"Furnished 1 Bed Apartment with En Suite in Kiambu Road
                                         
 
 
 
 
 
                                           "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,80000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   9 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,85000,0,0,0,0,"2 Bed Apartment with En Suite in Kileleshwa
                                         
 
 
 
 
 
                                                2 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   14 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,230000,110,1,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   20 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                  "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,230000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite at Kitale Lane
                                         
 
 
 
 
 
                                            "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,110000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite in Nyali Area
                                         
 
 
 
 
 
                                             "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,90000,110,0,0,0,"Serviced 2 Bed Apartment with En Suite in Kileleshwa
                                         
 
 
 
 
 
                                             "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,65000,0,0,0,0,"1 Bed Apartment with En Suite in Kileleshwa
                                         
 
 
 
 
 
                                                1 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,170000,0,0,0,0,"4 Bed Apartment with En Suite in Lavington
                                         
 
 
 
 
 
                                                4 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,195000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   19 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                  "
